"BeachName","DOW","Date","MonitoringOrg","Ecoli_1dGM","Ecoli_30dGM","Ecoli_units","ClosureYN","ClosureReason"
"Fish","27011800",2009-06-01,"TRPD",1,NA,"mpn","N",""
"Baker - Camp","27017600",2009-06-01,"TRPD",1,NA,"mpn","N",""
"Baker - Main","27017600",2009-06-01,"TRPD",1,NA,"mpn","N",""
"Rebecca","27019200",2009-06-01,"TRPD",1,NA,"mpn","N",""
"Cleary","70002200",2009-06-02,"TRPD",1,NA,"mpn","N",""
"Auburn","10004400",2009-06-08,"TRPD",2,NA,"mpn","N",""
"Bryant","27006700",2009-06-08,"TRPD",9,NA,"mpn","N",""
"French","27010400",2009-06-08,"TRPD",40,NA,"mpn","N",""
"Medicine East","27010400",2009-06-08,"TRPD",6,NA,"mpn","N",""
"Medicine West","27010400",2009-06-08,"TRPD",3,NA,"mpn","N",""
"Parkers","27010700",2009-06-08,"TRPD",27,NA,"mpn","N",""
"Fish","27011800",2009-06-08,"TRPD",4,NA,"mpn","N",""
"Baker - Camp","27017600",2009-06-08,"TRPD",28,2.43,"mpn","N",""
"Baker - Main","27017600",2009-06-08,"TRPD",1,NA,"mpn","N",""
"Rebecca","27019200",2009-06-08,"TRPD",1,NA,"mpn","N",""
"Cleary","70002200",2009-06-08,"TRPD",12,NA,"mpn","N",""
"Auburn","10004400",2009-06-15,"TRPD",1,1.15,"mpn","N",""
"Bryant","27006700",2009-06-15,"TRPD",39,4.02,"mpn","N",""
"French","27010400",2009-06-15,"TRPD",64,24.09,"mpn","N",""
"Medicine East","27010400",2009-06-15,"TRPD",9,4.69,"mpn","N",""
"Medicine West","27010400",2009-06-15,"TRPD",11,4.21,"mpn","N",""
"Parkers","27010700",2009-06-15,"TRPD",3,4.62,"mpn","N",""
"Fish","27011800",2009-06-15,"TRPD",4,1.74,"mpn","N",""
"Baker - Camp","27017600",2009-06-15,"TRPD",6,2.79,"mpn","N",""
"Baker - Main","27017600",2009-06-15,"TRPD",2,1.15,"mpn","N",""
"Rebecca","27019200",2009-06-15,"TRPD",1,2.53,"mpn","N",""
"Cleary","70002200",2009-06-17,"TRPD",1,3.66,"mpn","N",""
"Auburn","10004400",2009-06-22,"TRPD",7,1.7,"mpn","N",""
"Bryant","27006700",2009-06-22,"TRPD",4,5.31,"mpn","N",""
"French","27010400",2009-06-22,"TRPD",22,35.88,"mpn","N",""
"Medicine East","27010400",2009-06-22,"TRPD",14,7.95,"mpn","N",""
"Medicine West","27010400",2009-06-22,"TRPD",23,4.97,"mpn","N",""
"Parkers","27010700",2009-06-22,"TRPD",9,7.17,"mpn","N",""
"Fish","27011800",2009-06-22,"TRPD",17,3.07,"mpn","N",""
"Baker - Camp","27017600",2009-06-22,"TRPD",14,4.72,"mpn","N",""
"Baker - Main","27017600",2009-06-22,"TRPD",291,3.57,"mpn","N",""
"Rebecca","27019200",2009-06-22,"TRPD",3,1.64,"mpn","N",""
"Cleary","70002200",2009-06-22,"TRPD",1,3.66,"mpn","N",""
"Auburn","10004400",2009-06-29,"TRPD",1,1.7,"mpn","N",""
"Bryant","27006700",2009-06-29,"TRPD",2,6.1,"mpn","N",""
"French","27010400",2009-06-29,"TRPD",4,27.19,"mpn","N",""
"Medicine East","27010400",2009-06-29,"TRPD",13,7.22,"mpn","N",""
"Medicine West","27010400",2009-06-29,"TRPD",6,5.39,"mpn","N",""
"Parkers","27010700",2009-06-29,"TRPD",4,5.66,"mpn","N",""
"Baker - Camp","27017600",2009-06-29,"TRPD",26,9.06,"mpn","N",""
"Baker - Main","27017600",2009-06-29,"TRPD",15,6.14,"mpn","N",""
"Rebecca","27019200",2009-06-29,"TRPD",2,1.43,"mpn","N",""
"Fish","27011800",2009-06-30,"TRPD",2,3.52,"mpn","N",""
"Cleary","70002200",2009-06-30,"TRPD",23,3.08,"mpn","N",""
"Auburn","10004400",2009-07-06,"TRPD",4,2.24,"mpn","N",""
"Bryant","27006700",2009-07-06,"TRPD",3,6.1,"mpn","N",""
"French","27010400",2009-07-06,"TRPD",3,14.65,"mpn","N",""
"Medicine East","27010400",2009-07-06,"TRPD",13,10.5,"mpn","N",""
"Medicine West","27010400",2009-07-06,"TRPD",2,6.19,"mpn","N",""
"Parkers","27010700",2009-07-06,"TRPD",4,6.51,"mpn","N",""
"Fish","27011800",2009-07-06,"TRPD",1,3.52,"mpn","N",""
"Baker - Camp","27017600",2009-07-06,"TRPD",1,9.06,"mpn","N",""
"Baker - Main","27017600",2009-07-06,"TRPD",2,7.05,"mpn","N",""
"Rebecca","27019200",2009-07-06,"TRPD",7,2.11,"mpn","N",""
"Cleary","70002200",2009-07-06,"TRPD",2,3.53,"mpn","N",""
"French","27010400",2009-07-13,"TRPD",4,9.25,"mpn","N",""
"Medicine East","27010400",2009-07-13,"TRPD",2,8.43,"mpn","N",""
"Medicine West","27010400",2009-07-13,"TRPD",1,4.97,"mpn","N",""
"Parkers","27010700",2009-07-13,"TRPD",16,5.86,"mpn","N",""
"Baker - Camp","27017600",2009-07-13,"TRPD",1,4.65,"mpn","N",""
"Baker - Main","27017600",2009-07-13,"TRPD",5,9.73,"mpn","N",""
"Rebecca","27019200",2009-07-13,"TRPD",5,2.91,"mpn","N",""
"Bryant","27006700",2009-07-14,"TRPD",4,5.18,"mpn","N",""
"Fish","27011800",2009-07-14,"TRPD",23,5,"mpn","N",""
"Cleary","70002200",2009-07-14,"TRPD",1,2.15,"mpn","N",""
"Auburn","10004400",2009-07-15,"TRPD",10,3.09,"mpn","N",""
"Auburn","10004400",2009-07-20,"TRPD",1,3.09,"mpn","N",""
"Bryant","27006700",2009-07-20,"TRPD",12,4.1,"mpn","N",""
"French","27010400",2009-07-20,"TRPD",22,7.47,"mpn","N",""
"Medicine East","27010400",2009-07-20,"TRPD",2,6.24,"mpn","N",""
"Medicine West","27010400",2009-07-20,"TRPD",3,3.83,"mpn","N",""
"Parkers","27010700",2009-07-20,"TRPD",20,8.56,"mpn","N",""
"Fish","27011800",2009-07-20,"TRPD",42,8,"mpn","N",""
"Baker - Camp","27017600",2009-07-20,"TRPD",1,3.25,"mpn","N",""
"Baker - Main","27017600",2009-07-20,"TRPD",1,8.47,"mpn","N",""
"Rebecca","27019200",2009-07-20,"TRPD",31,5.79,"mpn","N",""
"Cleary","70002200",2009-07-20,"TRPD",2,2.47,"mpn","N",""
"Auburn","10004400",2009-07-27,"TRPD",3,2.61,"mpn","N",""
"Bryant","27006700",2009-07-27,"TRPD",38,6.42,"mpn","N",""
"French","27010400",2009-07-27,"TRPD",7,5.94,"mpn","N",""
"Medicine East","27010400",2009-07-27,"TRPD",23,6.89,"mpn","N",""
"Medicine West","27010400",2009-07-27,"TRPD",1,2.05,"mpn","N",""
"Parkers","27010700",2009-07-27,"TRPD",276,16.98,"mpn","N",""
"Baker - Camp","27017600",2009-07-27,"TRPD",27,3.71,"mpn","N",""
"Baker - Main","27017600",2009-07-27,"TRPD",3,3.39,"mpn","N",""
"Cleary","70002200",2009-07-27,"TRPD",3,3.08,"mpn","N",""
"Fish","27011800",2009-07-28,"TRPD",548,16.03,"mpn","N",""
"Rebecca","27019200",2009-07-28,"TRPD",7,6.86,"mpn","N",""
"Auburn","10004400",2009-08-03,"TRPD",1,2.61,"mpn","N",""
"Bryant","27006700",2009-08-03,"TRPD",14,9.48,"mpn","N",""
"French","27010400",2009-08-03,"TRPD",2,5.17,"mpn","N",""
"Medicine East","27010400",2009-08-03,"TRPD",238,12.33,"mpn","N",""
"Medicine West","27010400",2009-08-03,"TRPD",1,1.43,"mpn","N",""
"Parkers","27010700",2009-08-03,"TRPD",81,31,"mpn","N",""
"Fish","27011800",2009-08-03,"TRPD",1050,56.1,"mpn","N",""
"Baker - Camp","27017600",2009-08-03,"TRPD",411,6.44,"mpn","N",""
"Baker - Main","27017600",2009-08-03,"TRPD",13,3.3,"mpn","N",""
"Rebecca","27019200",2009-08-03,"TRPD",31,11.87,"mpn","N",""
"Cleary","70002200",2009-08-03,"TRPD",517,5.74,"mpn","N",""
"Auburn","10004400",2009-08-10,"TRPD",2419,9.38,"mpn","Y","ecoli_1dayGM"
"Fish","27011800",2009-08-10,"TRPD",2419,266.51,"mpn","Y","ecoli_1dayGM"
"Bryant","27006700",2009-08-10,"TRPD",34,15.41,"mpn","N",""
"French","27010400",2009-08-10,"TRPD",12,6.82,"mpn","N",""
"Medicine East","27010400",2009-08-10,"TRPD",411,24.59,"mpn","N",""
"Medicine West","27010400",2009-08-10,"TRPD",16,2.17,"mpn","N",""
"Parkers","27010700",2009-08-10,"TRPD",29,46.07,"mpn","N",""
"Baker - Camp","27017600",2009-08-10,"TRPD",6,9.22,"mpn","N",""
"Baker - Main","27017600",2009-08-10,"TRPD",40,6,"mpn","N",""
"Rebecca","27019200",2009-08-10,"TRPD",3,10.02,"mpn","N",""
"Cleary","70002200",2009-08-11,"TRPD",45,10.69,"mpn","N",""
"Fish","27011800",2009-08-17,"TRPD",517,496.67,"mpn","Y","ecoli_30dayGM"
"Auburn","10004400",2009-08-17,"TRPD",1,5.92,"mpn","N",""
"Bryant","27006700",2009-08-17,"TRPD",59,26.39,"mpn","N",""
"French","27010400",2009-08-17,"TRPD",290,16.07,"mpn","N",""
"Medicine East","27010400",2009-08-17,"TRPD",222,63.08,"mpn","N",""
"Medicine West","27010400",2009-08-17,"TRPD",1,2.17,"mpn","N",""
"Parkers","27010700",2009-08-17,"TRPD",26,50.76,"mpn","N",""
"Baker - Camp","27017600",2009-08-17,"TRPD",4,12.16,"mpn","N",""
"Baker - Main","27017600",2009-08-17,"TRPD",1,4.35,"mpn","N",""
"Rebecca","27019200",2009-08-17,"TRPD",2,8.34,"mpn","N",""
"Cleary","70002200",2009-08-17,"TRPD",3,13.32,"mpn","N",""
"Fish","27011800",2009-08-20,"TRPD",16,409.49,"mpn","Y","ecoli_30dayGM"
"Medicine East","27010400",2009-08-24,"TRPD",96,136.82,"mpn","Y","ecoli_30dayGM"
"Fish","27011800",2009-08-24,"TRPD",14,196.66,"mpn","Y","ecoli_30dayGM"
"Auburn","10004400",2009-08-24,"TRPD",3,7.37,"mpn","N",""
"Bryant","27006700",2009-08-24,"TRPD",62,36.65,"mpn","N",""
"French","27010400",2009-08-24,"TRPD",46,18.62,"mpn","N",""
"Medicine West","27010400",2009-08-24,"TRPD",1,1.74,"mpn","N",""
"Parkers","27010700",2009-08-24,"TRPD",53,61.69,"mpn","N",""
"Baker - Camp","27017600",2009-08-24,"TRPD",53,26.91,"mpn","N",""
"Baker - Main","27017600",2009-08-24,"TRPD",13,7.27,"mpn","N",""
"Rebecca","27019200",2009-08-25,"TRPD",17,7.4,"mpn","N",""
"Cleary","70002200",2009-08-25,"TRPD",1,11.59,"mpn","N",""
"French","27010400",2009-08-31,"TRPD",38,26.12,"mpn","N",""
"Auburn","10004400",2010-05-26,"TRPD",6,NA,"mpn","N",""
"Bryant","27006700",2010-05-26,"TRPD",89,NA,"mpn","N",""
"French","27010400",2010-05-26,"TRPD",9,NA,"mpn","N",""
"French","27010400",2010-05-26,"TRPD",8,NA,"mpn","N",""
"Medicine East","27010400",2010-05-26,"TRPD",78,NA,"mpn","N",""
"Medicine West","27010400",2010-05-26,"TRPD",8,NA,"mpn","N",""
"Parkers","27010700",2010-05-26,"TRPD",6,NA,"mpn","N",""
"Fish","27011800",2010-05-26,"TRPD",2,NA,"mpn","N",""
"Baker - Camp","27017600",2010-05-26,"TRPD",6,NA,"mpn","N",""
"Baker - Main","27017600",2010-05-26,"TRPD",3,NA,"mpn","N",""
"Rebecca","27019200",2010-05-26,"TRPD",1,NA,"mpn","N",""
"Cleary","70002200",2010-05-26,"TRPD",62,NA,"mpn","N",""
"Auburn","10004400",2010-06-01,"TRPD",0,NA,"mpn","N",""
"Bryant","27006700",2010-06-01,"TRPD",6,NA,"mpn","N",""
"French","27010400",2010-06-01,"TRPD",99,NA,"mpn","N",""
"Medicine East","27010400",2010-06-01,"TRPD",13,NA,"mpn","N",""
"Medicine West","27010400",2010-06-01,"TRPD",5,NA,"mpn","N",""
