date,sample_1,sample_2,average,geometric_mean,beach_name,more_notes,notes,units
2009-06-18,14.5,NA,14.5,NA,Sand Point Beach,,,cfu
2009-06-18,31.3,NA,31.3,NA,Watzl's Beach,,,cfu
2009-07-02,10,NA,10,NA,Sand Point Beach,,,cfu
2009-07-02,6,NA,6,NA,Watzl's Beach,,,cfu
2009-07-16,2,NA,2,NA,Sand Point Beach,,,cfu
2009-07-16,3,NA,3,NA,Watzl's Beach,,,cfu
2009-07-30,2,NA,2,NA,Sand Point Beach,,,cfu
2009-07-30,4.1,NA,4.1,NA,Watzl's Beach,,,cfu
2009-08-13,30.1,NA,30.1,NA,Sand Point Beach,,,cfu
2009-08-13,9.8,NA,9.8,NA,Watzl's Beach,,,cfu
2010-06-02,4.1,NA,4.1,NA,Sand Point Beach,,,cfu
2010-06-02,7.5,NA,7.5,NA,Watzl's Beach,,,cfu
2010-06-17,4.1,NA,4.1,NA,Sand Point Beach,,,cfu
2010-06-17,9.7,NA,9.7,NA,Watzl's Beach,,,cfu
2010-07-02,139.6,NA,139.6,NA,Sand Point Beach,,,cfu
2010-07-02,3,NA,3,NA,Watzl's Beach,,,cfu
2010-07-15,15.8,NA,15.8,NA,Sand Point Beach,,,cfu
2010-07-15,23.1,NA,23.1,NA,Watzl's Beach,,,cfu
2010-07-29,16,NA,16,NA,Sand Point Beach,,,cfu
2010-07-29,14.4,NA,14.4,NA,Watzl's Beach,,,cfu
