"BeachName","DOW","Date","MonitoringOrg","Ecoli_1dGM","Ecoli_30dGM","Ecoli_units","ClosureYN","ClosureReason"
"Josephine","62005700",2004-07-06,"RamseyCo",4.6,NA,"mpn","N",""
"Turtle","62006100",2004-07-06,"RamseyCo",9.7,NA,"mpn","N",""
"Long","62006700",2004-07-06,"RamseyCo",17.4,NA,"mpn","N",""
"Snail","62007300",2004-07-06,"RamseyCo",8.1,NA,"mpn","N",""
"Johanna","62007800",2004-07-06,"RamseyCo",9.4,NA,"mpn","N",""
"White Bear","82016700",2004-07-06,"RamseyCo",4.6,NA,"mpn","N",""
"Gervais","62000700",2004-07-13,"RamseyCo",26.1,NA,"mpn","N",""
"Phalen","62001300",2004-07-13,"RamseyCo",99.1,NA,"mpn","N",""
"McCarrons","62005400",2004-07-13,"RamseyCo",44.1,NA,"mpn","N",""
"Owasso","62005600",2004-07-13,"RamseyCo",13.3,NA,"mpn","N",""
"Josephine","62005700",2004-07-13,"RamseyCo",48.7,NA,"mpn","N",""
"Turtle","62006100",2004-07-13,"RamseyCo",14,NA,"mpn","N",""
"Long","62006700",2004-07-13,"RamseyCo",70.5,NA,"mpn","N",""
"Snail","62007300",2004-07-13,"RamseyCo",52.9,NA,"mpn","N",""
"Johanna","62007800",2004-07-13,"RamseyCo",37.2,NA,"mpn","N",""
"White Bear","82016700",2004-07-13,"RamseyCo",15.9,NA,"mpn","N",""
"Gervais","62000700",2004-07-20,"RamseyCo",18.5,NA,"mpn","N",""
"Phalen","62001300",2004-07-20,"RamseyCo",64.5,NA,"mpn","N",""
"McCarrons","62005400",2004-07-20,"RamseyCo",41.7,NA,"mpn","N",""
"Owasso","62005600",2004-07-20,"RamseyCo",8.6,NA,"mpn","N",""
"Josephine","62005700",2004-07-20,"RamseyCo",4.4,NA,"mpn","N",""
"Turtle","62006100",2004-07-20,"RamseyCo",4.6,NA,"mpn","N",""
"Long","62006700",2004-07-20,"RamseyCo",86.1,NA,"mpn","N",""
"Snail","62007300",2004-07-20,"RamseyCo",7.3,NA,"mpn","N",""
"Johanna","62007800",2004-07-20,"RamseyCo",9.3,NA,"mpn","N",""
"White Bear","82016700",2004-07-20,"RamseyCo",8.3,NA,"mpn","N",""
"Gervais","62000700",2004-07-27,"RamseyCo",6.2,NA,"mpn","N",""
"Phalen","62001300",2004-07-27,"RamseyCo",14.6,NA,"mpn","N",""
"McCarrons","62005400",2004-07-27,"RamseyCo",1.8,NA,"mpn","N",""
"Owasso","62005600",2004-07-27,"RamseyCo",2,NA,"mpn","N",""
"Josephine","62005700",2004-07-27,"RamseyCo",95.4,NA,"mpn","N",""
"Turtle","62006100",2004-07-27,"RamseyCo",4.4,NA,"mpn","N",""
"Long","62006700",2004-07-27,"RamseyCo",11.5,NA,"mpn","N",""
"Snail","62007300",2004-07-27,"RamseyCo",14.4,NA,"mpn","N",""
"Johanna","62007800",2004-07-27,"RamseyCo",118.1,NA,"mpn","N",""
"White Bear","82016700",2004-07-27,"RamseyCo",3.2,NA,"mpn","N",""
"Gervais","62000700",2004-08-03,"RamseyCo",7.9,NA,"mpn","N",""
"Phalen","62001300",2004-08-03,"RamseyCo",20.5,NA,"mpn","N",""
"McCarrons","62005400",2004-08-03,"RamseyCo",14.2,NA,"mpn","N",""
"Owasso","62005600",2004-08-03,"RamseyCo",9,NA,"mpn","N",""
"Josephine","62005700",2004-08-03,"RamseyCo",1.7,NA,"mpn","N",""
"Turtle","62006100",2004-08-03,"RamseyCo",13.3,NA,"mpn","N",""
"Long","62006700",2004-08-03,"RamseyCo",137,NA,"mpn","N",""
"Snail","62007300",2004-08-03,"RamseyCo",6.7,NA,"mpn","N",""
"Johanna","62007800",2004-08-03,"RamseyCo",5.8,NA,"mpn","N",""
"White Bear","82016700",2004-08-03,"RamseyCo",5.1,NA,"mpn","N",""
"Gervais","62000700",2004-08-10,"RamseyCo",4.6,NA,"mpn","N",""
"Phalen","62001300",2004-08-10,"RamseyCo",12.6,NA,"mpn","N",""
"McCarrons","62005400",2004-08-10,"RamseyCo",15.9,NA,"mpn","N",""
"Owasso","62005600",2004-08-10,"RamseyCo",26.1,NA,"mpn","N",""
"Josephine","62005700",2004-08-10,"RamseyCo",7.5,NA,"mpn","N",""
"Turtle","62006100",2004-08-10,"RamseyCo",62.1,NA,"mpn","N",""
"Long","62006700",2004-08-10,"RamseyCo",7.5,NA,"mpn","N",""
"Snail","62007300",2004-08-10,"RamseyCo",14.9,NA,"mpn","N",""
"Johanna","62007800",2004-08-10,"RamseyCo",8.5,NA,"mpn","N",""
"White Bear","82016700",2004-08-10,"RamseyCo",15,NA,"mpn","N",""
"Gervais","62000700",2004-08-17,"RamseyCo",2.3,NA,"mpn","N",""
"Phalen","62001300",2004-08-17,"RamseyCo",53.1,NA,"mpn","N",""
"McCarrons","62005400",2004-08-17,"RamseyCo",14.4,NA,"mpn","N",""
"Owasso","62005600",2004-08-17,"RamseyCo",13.6,NA,"mpn","N",""
"Josephine","62005700",2004-08-17,"RamseyCo",12.6,NA,"mpn","N",""
"Turtle","62006100",2004-08-17,"RamseyCo",20.5,NA,"mpn","N",""
"Long","62006700",2004-08-17,"RamseyCo",73.2,NA,"mpn","N",""
"Snail","62007300",2004-08-17,"RamseyCo",30.2,NA,"mpn","N",""
"Johanna","62007800",2004-08-17,"RamseyCo",7.4,NA,"mpn","N",""
"White Bear","82016700",2004-08-17,"RamseyCo",3.8,NA,"mpn","N",""
"Gervais","62000700",2004-08-24,"RamseyCo",2.9,NA,"mpn","N",""
"McCarrons","62005400",2004-08-24,"RamseyCo",61,NA,"mpn","N",""
"Owasso","62005600",2004-08-24,"RamseyCo",3.6,NA,"mpn","N",""
"Josephine","62005700",2004-08-24,"RamseyCo",8.3,NA,"mpn","N",""
"Turtle","62006100",2004-08-24,"RamseyCo",67.5,NA,"mpn","N",""
"Long","62006700",2004-08-24,"RamseyCo",11,NA,"mpn","N",""
"Snail","62007300",2004-08-24,"RamseyCo",23.4,NA,"mpn","N",""
"Johanna","62007800",2004-08-24,"RamseyCo",5.7,NA,"mpn","N",""
"White Bear","82016700",2004-08-24,"RamseyCo",12.4,NA,"mpn","N",""
"Gervais","62000700",2004-08-31,"RamseyCo",2.9,NA,"mpn","N",""
"McCarrons","62005400",2004-08-31,"RamseyCo",21.6,NA,"mpn","N",""
"Owasso","62005600",2004-08-31,"RamseyCo",1.4,NA,"mpn","N",""
"Josephine","62005700",2004-08-31,"RamseyCo",7.4,NA,"mpn","N",""
"Turtle","62006100",2004-08-31,"RamseyCo",14.8,NA,"mpn","N",""
"Long","62006700",2004-08-31,"RamseyCo",38.6,NA,"mpn","N",""
"Snail","62007300",2004-08-31,"RamseyCo",4.6,NA,"mpn","N",""
"Johanna","62007800",2004-08-31,"RamseyCo",2,NA,"mpn","N",""
"White Bear","82016700",2004-08-31,"RamseyCo",3.9,NA,"mpn","N",""
"Gervais","62000700",2005-06-14,"RamseyCo",23.3,NA,"mpn","N",""
"McCarrons","62005400",2005-06-14,"RamseyCo",16.5,NA,"mpn","N",""
"Owasso","62005600",2005-06-14,"RamseyCo",31.8,NA,"mpn","N",""
"Turtle","62006100",2005-06-14,"RamseyCo",35.7,NA,"mpn","N",""
"Long","62006700",2005-06-14,"RamseyCo",60.6,NA,"mpn","N",""
"Snail","62007300",2005-06-14,"RamseyCo",5.4,NA,"mpn","N",""
"Johanna","62007800",2005-06-14,"RamseyCo",5.9,NA,"mpn","N",""
"White Bear","82016700",2005-06-14,"RamseyCo",13.7,NA,"mpn","N",""
"Gervais","62000700",2005-06-21,"RamseyCo",5.5,NA,"mpn","N",""
"Phalen","62001300",2005-06-21,"RamseyCo",130.2,NA,"mpn","N",""
"McCarrons","62005400",2005-06-21,"RamseyCo",8.5,NA,"mpn","N",""
"Owasso","62005600",2005-06-21,"RamseyCo",29,NA,"mpn","N",""
"Turtle","62006100",2005-06-21,"RamseyCo",1,NA,"mpn","N",""
"Long","62006700",2005-06-21,"RamseyCo",154,NA,"mpn","N",""
"Snail","62007300",2005-06-21,"RamseyCo",4.6,NA,"mpn","N",""
"Johanna","62007800",2005-06-21,"RamseyCo",3.5,NA,"mpn","N",""
"White Bear","82016700",2005-06-21,"RamseyCo",4.4,NA,"mpn","N",""
"Gervais","62000700",2005-06-28,"RamseyCo",16.3,NA,"mpn","N",""
"Phalen","62001300",2005-06-28,"RamseyCo",46,NA,"mpn","N",""
"McCarrons","62005400",2005-06-28,"RamseyCo",19.1,NA,"mpn","N",""
"Owasso","62005600",2005-06-28,"RamseyCo",75.4,NA,"mpn","N",""
"Turtle","62006100",2005-06-28,"RamseyCo",91.6,NA,"mpn","N",""
"Long","62006700",2005-06-28,"RamseyCo",59.7,NA,"mpn","N",""
"Snail","62007300",2005-06-28,"RamseyCo",20.1,NA,"mpn","N",""
"Johanna","62007800",2005-06-28,"RamseyCo",20.2,NA,"mpn","N",""
"White Bear","82016700",2005-06-28,"RamseyCo",4.7,NA,"mpn","N",""
"Gervais","62000700",2005-07-05,"RamseyCo",5.9,NA,"mpn","N",""
"McCarrons","62005400",2005-07-05,"RamseyCo",6.9,NA,"mpn","N",""
"Owasso","62005600",2005-07-05,"RamseyCo",7.9,NA,"mpn","N",""
"Turtle","62006100",2005-07-05,"RamseyCo",12.4,NA,"mpn","N",""
"Long","62006700",2005-07-05,"RamseyCo",7,NA,"mpn","N",""
"Snail","62007300",2005-07-05,"RamseyCo",1.8,NA,"mpn","N",""
"Johanna","62007800",2005-07-05,"RamseyCo",2,NA,"mpn","N",""
"White Bear","82016700",2005-07-05,"RamseyCo",3.9,NA,"mpn","N",""
"Gervais","62000700",2005-07-12,"RamseyCo",1.7,NA,"mpn","N",""
"Phalen","62001300",2005-07-12,"RamseyCo",2,NA,"mpn","N",""
"McCarrons","62005400",2005-07-12,"RamseyCo",487.3,NA,"mpn","N",""
"Owasso","62005600",2005-07-12,"RamseyCo",23.6,NA,"mpn","N",""
"Turtle","62006100",2005-07-12,"RamseyCo",1.8,NA,"mpn","N",""
"Long","62006700",2005-07-12,"RamseyCo",7,NA,"mpn","N",""
"Snail","62007300",2005-07-12,"RamseyCo",1.4,NA,"mpn","N",""
"Johanna","62007800",2005-07-12,"RamseyCo",2.3,NA,"mpn","N",""
"White Bear","82016700",2005-07-12,"RamseyCo",8.4,NA,"mpn","N",""
"McCarrons","62005400",2005-07-14,"RamseyCo",16.8,NA,"mpn","N",""
"Gervais","62000700",2005-07-19,"RamseyCo",2.7,NA,"mpn","N",""
"McCarrons","62005400",2005-07-19,"RamseyCo",5.2,NA,"mpn","N",""
"Owasso","62005600",2005-07-19,"RamseyCo",4.3,NA,"mpn","N",""
"Turtle","62006100",2005-07-19,"RamseyCo",1,NA,"mpn","N",""
"Long","62006700",2005-07-19,"RamseyCo",1.4,NA,"mpn","N",""
"Snail","62007300",2005-07-19,"RamseyCo",1.4,NA,"mpn","N",""
"Johanna","62007800",2005-07-19,"RamseyCo",31.6,NA,"mpn","N",""
"White Bear","82016700",2005-07-19,"RamseyCo",2,NA,"mpn","N",""
"Gervais","62000700",2005-07-26,"RamseyCo",81.9,NA,"mpn","N",""
"Phalen","62001300",2005-07-26,"RamseyCo",174.7,NA,"mpn","N",""
"McCarrons","62005400",2005-07-26,"RamseyCo",97.6,NA,"mpn","N",""
"Owasso","62005600",2005-07-26,"RamseyCo",79.6,NA,"mpn","N",""
"Turtle","62006100",2005-07-26,"RamseyCo",2.5,NA,"mpn","N",""
"Long","62006700",2005-07-26,"RamseyCo",10.7,NA,"mpn","N",""
"Snail","62007300",2005-07-26,"RamseyCo",9.5,NA,"mpn","N",""
"Johanna","62007800",2005-07-26,"RamseyCo",991.1,NA,"mpn","N",""
"White Bear","82016700",2005-07-26,"RamseyCo",21.3,NA,"mpn","N",""
"Johanna","62007800",2005-07-28,"RamseyCo",8.7,NA,"mpn","N",""
"Gervais","62000700",2005-08-02,"RamseyCo",3.9,NA,"mpn","N",""
"McCarrons","62005400",2005-08-02,"RamseyCo",53.9,NA,"mpn","N",""
"Owasso","62005600",2005-08-02,"RamseyCo",3.9,NA,"mpn","N",""
"Turtle","62006100",2005-08-02,"RamseyCo",25.9,NA,"mpn","N",""
"Long","62006700",2005-08-02,"RamseyCo",1.4,NA,"mpn","N",""
"Snail","62007300",2005-08-02,"RamseyCo",5.4,NA,"mpn","N",""
"Johanna","62007800",2005-08-02,"RamseyCo",3.5,NA,"mpn","N",""
"White Bear","82016700",2005-08-02,"RamseyCo",5,NA,"mpn","N",""
"Phalen","62001300",2005-08-02,"RamseyCo",1982.9,NA,"mpn","Y","ecoli_1dayGM"
"Phalen","62001300",2005-08-04,"RamseyCo",181.7,NA,"mpn","N",""
"Gervais","62000700",2005-08-09,"RamseyCo",1.8,NA,"mpn","N",""
"Phalen","62001300",2005-08-09,"RamseyCo",500.9,NA,"mpn","N",""
"McCarrons","62005400",2005-08-09,"RamseyCo",55.1,NA,"mpn","N",""
"Owasso","62005600",2005-08-09,"RamseyCo",3.6,NA,"mpn","N",""
"Turtle","62006100",2005-08-09,"RamseyCo",1.8,NA,"mpn","N",""
"Long","62006700",2005-08-09,"RamseyCo",2,NA,"mpn","N",""
"Snail","62007300",2005-08-09,"RamseyCo",1.4,NA,"mpn","N",""
"Johanna","62007800",2005-08-09,"RamseyCo",1,NA,"mpn","N",""
"White Bear","82016700",2005-08-09,"RamseyCo",1,NA,"mpn","N",""
"Phalen","62001300",2005-08-11,"RamseyCo",3.1,NA,"mpn","N",""
"Gervais","62000700",2005-08-16,"RamseyCo",1,NA,"mpn","N",""
"Phalen","62001300",2005-08-16,"RamseyCo",31.7,NA,"mpn","N",""
"McCarrons","62005400",2005-08-16,"RamseyCo",4.6,NA,"mpn","N",""
"Owasso","62005600",2005-08-16,"RamseyCo",20.2,NA,"mpn","N",""
"Turtle","62006100",2005-08-16,"RamseyCo",1.4,NA,"mpn","N",""
"Long","62006700",2005-08-16,"RamseyCo",1,NA,"mpn","N",""
"Snail","62007300",2005-08-16,"RamseyCo",1,NA,"mpn","N",""
"Johanna","62007800",2005-08-16,"RamseyCo",1,NA,"mpn","N",""
"White Bear","82016700",2005-08-16,"RamseyCo",61.8,NA,"mpn","N",""
"Gervais","62000700",2005-08-23,"RamseyCo",1.4,NA,"mpn","N",""
"McCarrons","62005400",2005-08-23,"RamseyCo",3.8,NA,"mpn","N",""
"Owasso","62005600",2005-08-23,"RamseyCo",8,NA,"mpn","N",""
"Turtle","62006100",2005-08-23,"RamseyCo",3.5,NA,"mpn","N",""
"Long","62006700",2005-08-23,"RamseyCo",3.2,NA,"mpn","N",""
"Snail","62007300",2005-08-23,"RamseyCo",1.4,NA,"mpn","N",""
"Johanna","62007800",2005-08-23,"RamseyCo",2.5,NA,"mpn","N",""
"White Bear","82016700",2005-08-23,"RamseyCo",51.3,NA,"mpn","N",""
"Gervais","62000700",2005-08-30,"RamseyCo",6.4,NA,"mpn","N",""
"McCarrons","62005400",2005-08-30,"RamseyCo",3.8,NA,"mpn","N",""
"Owasso","62005600",2005-08-30,"RamseyCo",5.7,NA,"mpn","N",""
"Turtle","62006100",2005-08-30,"RamseyCo",3.8,NA,"mpn","N",""
"Long","62006700",2005-08-30,"RamseyCo",1.4,NA,"mpn","N",""
"Snail","62007300",2005-08-30,"RamseyCo",3.9,NA,"mpn","N",""
"Johanna","62007800",2005-08-30,"RamseyCo",8.8,NA,"mpn","N",""
"White Bear","82016700",2005-08-30,"RamseyCo",176.3,NA,"mpn","N",""
"Gervais","62000700",2006-05-23,"RamseyCo",6.3,NA,"mpn","N",""
"Phalen","62001300",2006-05-23,"RamseyCo",13.1,NA,"mpn","N",""
"McCarrons","62005400",2006-05-23,"RamseyCo",1.8,NA,"mpn","N",""
"Owasso","62005600",2006-05-23,"RamseyCo",57.8,NA,"mpn","N",""
"Josephine","62005700",2006-05-23,"RamseyCo",5.4,NA,"mpn","N",""
"Turtle","62006100",2006-05-23,"RamseyCo",3.6,NA,"mpn","N",""
"Long","62006700",2006-05-23,"RamseyCo",1.8,NA,"mpn","N",""
"Snail","62007300",2006-05-23,"RamseyCo",1.4,NA,"mpn","N",""
"Johanna","62007800",2006-05-23,"RamseyCo",12.1,NA,"mpn","N",""
"White Bear","82016700",2006-05-23,"RamseyCo",1,NA,"mpn","N",""
"Gervais","62000700",2006-05-30,"RamseyCo",13.1,9.1,"mpn","N",""
"McCarrons","62005400",2006-05-30,"RamseyCo",4,2.7,"mpn","N",""
"Owasso","62005600",2006-05-30,"RamseyCo",6.3,19.1,"mpn","N",""
"Josephine","62005700",2006-05-30,"RamseyCo",13.8,8.7,"mpn","N",""
"Turtle","62006100",2006-05-30,"RamseyCo",1,1.9,"mpn","N",""
"Long","62006700",2006-05-30,"RamseyCo",6.3,3.3,"mpn","N",""
"Snail","62007300",2006-05-30,"RamseyCo",2.4,1.9,"mpn","N",""
"Johanna","62007800",2006-05-30,"RamseyCo",1,3.5,"mpn","N",""
"White Bear","82016700",2006-05-30,"RamseyCo",2.3,1.5,"mpn","N",""
"Phalen","62001300",2006-05-30,"RamseyCo",1732.9,150.7,"mpn","Y","ecoli_1dayGM"
"Phalen","62001300",2006-06-01,"RamseyCo",15.8,71,"mpn","N",""
"Gervais","62000700",2006-06-06,"RamseyCo",8.3,8.8,"mpn","N",""
"Phalen","62001300",2006-06-06,"RamseyCo",26.8,55.7,"mpn","N",""
"McCarrons","62005400",2006-06-06,"RamseyCo",127.7,9.7,"mpn","N",""
"Owasso","62005600",2006-06-06,"RamseyCo",4.7,12,"mpn","N",""
"Josephine","62005700",2006-06-06,"RamseyCo",113.9,20.5,"mpn","N",""
"Turtle","62006100",2006-06-06,"RamseyCo",7.9,3.1,"mpn","N",""
"Long","62006700",2006-06-06,"RamseyCo",25.1,6.5,"mpn","N",""
"Snail","62007300",2006-06-06,"RamseyCo",3.5,2.3,"mpn","N",""
"Johanna","62007800",2006-06-06,"RamseyCo",6.7,4.3,"mpn","N",""
"White Bear","82016700",2006-06-06,"RamseyCo",1,1.3,"mpn","N",""
"Gervais","62000700",2006-06-13,"RamseyCo",1,5.1,"mpn","N",""
"Phalen","62001300",2006-06-13,"RamseyCo",3.2,31.5,"mpn","N",""
"Pleasant","62004600",2006-06-13,"RamseyCo",34.3,NA,"mpn","N",""
"McCarrons","62005400",2006-06-13,"RamseyCo",21.2,11.8,"mpn","N",""
"Owasso","62005600",2006-06-13,"RamseyCo",1.4,7,"mpn","N",""
"Josephine","62005700",2006-06-13,"RamseyCo",45.7,25,"mpn","N",""
"Turtle","62006100",2006-06-13,"RamseyCo",3.2,3.1,"mpn","N",""
"Long","62006700",2006-06-13,"RamseyCo",5.7,6.3,"mpn","N",""
"Snail","62007300",2006-06-13,"RamseyCo",2.5,2.3,"mpn","N",""
"Johanna","62007800",2006-06-13,"RamseyCo",1.4,3.3,"mpn","N",""
"White Bear","82016700",2006-06-13,"RamseyCo",1,1.2,"mpn","N",""
"Mahtomedi","82016700",2006-06-14,"RamseyCo",3,NA,"mpn","N",""
"Gervais","62000700",2006-06-20,"RamseyCo",12.5,6.1,"mpn","N",""
"Phalen","62001300",2006-06-20,"RamseyCo",6.9,24.5,"mpn","N",""
"McCarrons","62005400",2006-06-20,"RamseyCo",58.5,16.2,"mpn","N",""
"Owasso","62005600",2006-06-20,"RamseyCo",6.3,6.9,"mpn","N",""
"Josephine","62005700",2006-06-20,"RamseyCo",41,27.6,"mpn","N",""
"Turtle","62006100",2006-06-20,"RamseyCo",12.6,4.1,"mpn","N",""
"Long","62006700",2006-06-20,"RamseyCo",19.3,7.9,"mpn","N",""
"Snail","62007300",2006-06-20,"RamseyCo",1.4,2.1,"mpn","N",""
"Johanna","62007800",2006-06-20,"RamseyCo",3.5,3.3,"mpn","N",""
"Mahtomedi","82016700",2006-06-20,"RamseyCo",1,1.7,"mpn","N",""
"White Bear","82016700",2006-06-20,"RamseyCo",2.4,1.4,"mpn","N",""
"Gervais","62000700",2006-06-27,"RamseyCo",15.3,7.3,"mpn","N",""
"Phalen","62001300",2006-06-27,"RamseyCo",2.9,19.1,"mpn","N",""
"McCarrons","62005400",2006-06-27,"RamseyCo",56.8,32.5,"mpn","N",""
"Owasso","62005600",2006-06-27,"RamseyCo",1,3.1,"mpn","N",""
"Josephine","62005700",2006-06-27,"RamseyCo",11.8,32.2,"mpn","N",""
"Turtle","62006100",2006-06-27,"RamseyCo",3.1,4,"mpn","N",""
"Long","62006700",2006-06-27,"RamseyCo",8.8,10.9,"mpn","N",""
"Snail","62007300",2006-06-27,"RamseyCo",1,2,"mpn","N",""
"Johanna","62007800",2006-06-27,"RamseyCo",1.8,2.3,"mpn","N",""
"Mahtomedi","82016700",2006-06-27,"RamseyCo",3.9,2.3,"mpn","N",""
"White Bear","82016700",2006-06-27,"RamseyCo",1,1.4,"mpn","N",""
"Gervais","62000700",2006-07-05,"RamseyCo",3.2,5.5,"mpn","N",""
"Phalen","62001300",2006-07-05,"RamseyCo",2,5.1,"mpn","N",""
"McCarrons","62005400",2006-07-05,"RamseyCo",45.1,52.7,"mpn","N",""
"Owasso","62005600",2006-07-05,"RamseyCo",1.4,2.3,"mpn","N",""
"Josephine","62005700",2006-07-05,"RamseyCo",94.3,47.3,"mpn","N",""
"Turtle","62006100",2006-07-05,"RamseyCo",1.4,4.3,"mpn","N",""
"Long","62006700",2006-07-05,"RamseyCo",22.3,14,"mpn","N",""
"Snail","62007300",2006-07-05,"RamseyCo",1,1.7,"mpn","N",""
"Johanna","62007800",2006-07-05,"RamseyCo",5.6,3.2,"mpn","N",""
"Mahtomedi","82016700",2006-07-05,"RamseyCo",1,1.9,"mpn","N",""
"White Bear","82016700",2006-07-05,"RamseyCo",1.4,1.3,"mpn","N",""
"Gervais","62000700",2006-07-11,"RamseyCo",1.4,3.9,"mpn","N",""
"Phalen","62001300",2006-07-11,"RamseyCo",62.5,6.1,"mpn","N",""
"McCarrons","62005400",2006-07-11,"RamseyCo",434.5,67.3,"mpn","N",""
"Owasso","62005600",2006-07-11,"RamseyCo",2.4,2,"mpn","N",""
"Josephine","62005700",2006-07-11,"RamseyCo",19.5,33.3,"mpn","N",""
"Turtle","62006100",2006-07-11,"RamseyCo",10.3,4.5,"mpn","N",""
"Long","62006700",2006-07-11,"RamseyCo",17.3,13,"mpn","N",""
"Snail","62007300",2006-07-11,"RamseyCo",1.4,1.4,"mpn","N",""
"Johanna","62007800",2006-07-11,"RamseyCo",7.7,3.3,"mpn","N",""
"Mahtomedi","82016700",2006-07-11,"RamseyCo",1.4,1.8,"mpn","N",""
"White Bear","82016700",2006-07-11,"RamseyCo",1,1.3,"mpn","N",""
"Gervais","62000700",2006-07-18,"RamseyCo",1,3.9,"mpn","N",""
"Phalen","62001300",2006-07-18,"RamseyCo",2.4,5.7,"mpn","N",""
"McCarrons","62005400",2006-07-18,"RamseyCo",56.2,65.3,"mpn","N",""
"Owasso","62005600",2006-07-18,"RamseyCo",1,1.9,"mpn","N",""
"Josephine","62005700",2006-07-18,"RamseyCo",1.4,16.6,"mpn","N",""
"Turtle","62006100",2006-07-18,"RamseyCo",2,4.1,"mpn","N",""
"Long","62006700",2006-07-18,"RamseyCo",29.9,18.1,"mpn","N",""
"Snail","62007300",2006-07-18,"RamseyCo",4.9,1.6,"mpn","N",""
"Johanna","62007800",2006-07-18,"RamseyCo",2,3.5,"mpn","N",""
"Mahtomedi","82016700",2006-07-18,"RamseyCo",1,1.4,"mpn","N",""
"White Bear","82016700",2006-07-18,"RamseyCo",3.8,1.7,"mpn","N",""
"McCarrons","62005400",2006-07-20,"RamseyCo",186.3,145.6,"mpn","Y","ecoli_30dayGM"
"Gervais","62000700",2006-07-25,"RamseyCo",16.2,4.1,"mpn","N",""
"Phalen","62001300",2006-07-25,"RamseyCo",12.5,6.5,"mpn","N",""
"McCarrons","62005400",2006-07-25,"RamseyCo",816.8,120,"mpn","N",""
"Owasso","62005600",2006-07-25,"RamseyCo",94.6,3.2,"mpn","N",""
"Josephine","62005700",2006-07-25,"RamseyCo",2.9,9.7,"mpn","N",""
"Turtle","62006100",2006-07-25,"RamseyCo",5.8,3.5,"mpn","N",""
"Long","62006700",2006-07-25,"RamseyCo",8.9,15.5,"mpn","N",""
"Snail","62007300",2006-07-25,"RamseyCo",2,1.7,"mpn","N",""
"Johanna","62007800",2006-07-25,"RamseyCo",7.5,4.1,"mpn","N",""
"Mahtomedi","82016700",2006-07-25,"RamseyCo",1,1.4,"mpn","N",""
"White Bear","82016700",2006-07-25,"RamseyCo",1,1.4,"mpn","N",""
"McCarrons","62005400",2006-07-25,"RamseyCo",409.8,168.8,"mpn","Y","ecoli_30dayGM"
"McCarrons","62005400",2006-07-26,"RamseyCo",1128.8,214,"mpn","Y","ecoli_30dayGM"
"McCarrons","62005400",2006-07-27,"RamseyCo",139.7,239.5,"mpn","Y","ecoli_30dayGM"
"McCarrons","62005400",2006-07-28,"RamseyCo",164.4,229.7,"mpn","Y","ecoli_30dayGM"
"McCarrons","62005400",2006-07-29,"RamseyCo",126.9,216.5,"mpn","Y","ecoli_30dayGM"
