BeachName,DNRID,Date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,Entero_avg_cfu,Microcystin_ugL,Cylindro_ugL,Anatoxin_ugL,ClosureYN,ClosureReason,MonitoringOrg
Cedar - Point,27-0039,2014-08-11,3.666666667,5,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-08-11,829.5,181,cfu,,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2014-08-18,86.3,8.9,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-08-18,6,24.7,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-08-18,590,20,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-08-18,12,20,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-08-18,159,23,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-08-18,87.5,101,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-08-18,215.4,30,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-08-18,5.766666667,2,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-08-18,17,109,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-08-18,84,14,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-08-18,17.55,5,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-08-18,546.2,159,cfu,,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2014-08-25,15.5,12,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2014-08-25,13,41,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2014-08-25,797,41,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2014-08-25,96,58,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2014-08-25,21,44,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2014-08-25,107,112,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2014-08-25,7,26,cfu,,,,,N,,MPRB
Wirth,27-0037,2014-08-25,8,2.5,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2014-08-25,11,34,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2014-08-25,20,20,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2014-08-25,2.5,6,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2014-08-25,368.5,218,cfu,,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2015-06-08,14,,cfu,29,,,,N,,MPRB
Harriet - SE,27-0016,2015-06-08,22,,cfu,144,,,,N,,MPRB
Hiawatha,27-0018,2015-06-08,95,,cfu,1168,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-06-08,12,,cfu,54,,,,N,,MPRB
Nokomis - Main,27-0019,2015-06-08,13,,cfu,29,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-06-08,288,,cfu,145,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-06-08,4,,cfu,22,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-06-08,88,,cfu,921,,,,N,,MPRB
Wirth,27-0037,2015-06-08,4,,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-06-08,54,,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-06-08,22,,cfu,365,,,,N,,MPRB
Cedar - Point,27-0039,2015-06-08,48,,cfu,12,,,,N,,MPRB
Harriet - Main,27-0016,2015-06-15,6,,cfu,55,,,,N,,MPRB
Harriet - SE,27-0016,2015-06-15,75,,cfu,345,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-06-15,37,,cfu,60,,,,N,,MPRB
Nokomis - Main,27-0019,2015-06-15,66,,cfu,67,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-06-15,112,,cfu,308,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-06-15,5,,cfu,5,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-06-15,5,,cfu,9,,,,N,,MPRB
Wirth,27-0037,2015-06-15,33,,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-06-15,108,,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2015-06-15,59.5,,cfu,96,,,,N,,MPRB
Hiawatha,27-0018,2015-06-15,28,,cfu,2420,,,,Y,entero,MPRB
Cedar - Main,27-0039,2015-06-15,31,,cfu,2420,,,,Y,entero,MPRB
Harriet - Main,27-0016,2015-06-23,25,,cfu,26,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-06-23,69,,cfu,119,,,,N,,MPRB
Nokomis - Main,27-0019,2015-06-23,78,,cfu,155,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-06-23,50,,cfu,23,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-06-23,64,,cfu,16,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-06-23,56,,cfu,45,,,,N,,MPRB
Wirth,27-0037,2015-06-23,2,,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-06-23,2,,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-06-23,26,,cfu,65,,,,N,,MPRB
Cedar - Point,27-0039,2015-06-23,78,,cfu,26,,,,N,,MPRB
Harriet - SE,27-0016,2015-06-23,68,,cfu,2420,,,,Y,entero,MPRB
Hiawatha,27-0018,2015-06-23,355,,cfu,2420,,,,Y,entero,MPRB
Harriet - Main,27-0016,2015-06-29,12,,cfu,354,,,,N,,MPRB
Hiawatha,27-0018,2015-06-29,73,,cfu,77,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-06-29,47,,cfu,102,,,,N,,MPRB
Nokomis - Main,27-0019,2015-06-29,66,,cfu,34,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-06-29,177,,cfu,214,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-06-29,35,,cfu,122,,,,N,,MPRB
Wirth,27-0037,2015-06-29,6,,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-06-29,13,,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-06-29,79,,cfu,1300,,,,N,,MPRB
Harriet - SE,27-0016,2015-06-29,71,,cfu,2420,,,,Y,entero,MPRB
Bde Maka Ska - Thomas,27-0031,2015-06-29,1484,,cfu,461,,,,Y,ecoli_1dayGM,MPRB
Cedar - Point,27-0039,2015-06-29,47,,cfu,2420,,,,Y,entero,MPRB
Bde Maka Ska - Thomas,27-0031,2015-06-30,32,,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-07-01,4,,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2015-07-07,20,102,cfu,39,,,,N,,MPRB
Harriet - SE,27-0016,2015-07-07,79,57.4,cfu,236,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-07-07,62.5,39,cfu,107,,,,N,,MPRB
Nokomis - Main,27-0019,2015-07-07,45.5,45,cfu,115,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-07-07,71,68,cfu,172,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-07-07,178.5,90,cfu,66,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-07-07,288,67,cfu,308,,,,N,,MPRB
Wirth,27-0037,2015-07-07,16.5,7.3,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-07-07,54.5,83,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-07-07,35.5,93,cfu,387,,,,N,,MPRB
Cedar - Point,27-0039,2015-07-07,157.5,70,cfu,148,,,,N,,MPRB
Hiawatha,27-0018,2015-07-07,2420,175.5,cfu,2420,,,,Y,ecoli_1dayGM,MPRB
Harriet - SE,27-0016,2015-07-13,159.5,85.2,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-07-13,100,59,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2015-07-13,51,60,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-07-13,353,64,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-07-13,207,85,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-07-13,3,50,cfu,,,,,N,,MPRB
Wirth,27-0037,2015-07-13,7,8.3,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-07-13,150,84,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-07-13,155,87,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2015-07-13,113,83,cfu,,,,,N,,MPRB
Harriet - Main,27-0016,2015-07-13,129,191,cfu,,,,,Y,ecoli_30dayGM,MPRB
Hiawatha,27-0018,2015-07-13,2419,335.4,cfu,,,,,Y,ecoli_1dayGM,MPRB
Harriet - Main,27-0016,2015-07-20,5,19,cfu,1,,,,N,,MPRB
Harriet - SE,27-0016,2015-07-20,26,69.1,cfu,25,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-07-20,12,48,cfu,135,,,,N,,MPRB
Nokomis - Main,27-0019,2015-07-20,13,44,cfu,27,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-07-20,20,13,cfu,25,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-07-20,6.9,12,cfu,6,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-07-20,12.7,12,cfu,12,,,,N,,MPRB
Wirth,27-0037,2015-07-20,2,4.7,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-07-20,4,14,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-07-20,14.45,10,cfu,38,,,,N,,MPRB
Hiawatha,27-0018,2015-07-20,113,443.1,cfu,276,,,,Y,ecoli_30dayGM,MPRB
Cedar - Point,27-0039,2015-07-20,73.2,86,cfu,2420,,,,Y,entero,MPRB
Harriet - Main,27-0016,2015-07-27,9,23,cfu,2,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-07-27,26,39,cfu,11,,,,N,,MPRB
Nokomis - Main,27-0019,2015-07-27,37.2,38,cfu,9,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-07-27,17,12,cfu,4,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-07-27,15,10,cfu,6,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-07-27,46,13,cfu,28,,,,N,,MPRB
Wirth,27-0037,2015-07-27,8,6.2,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-07-27,10,16,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-07-27,33.5,21,cfu,19,,,,N,,MPRB
Cedar - Point,27-0039,2015-07-27,2,39,cfu,3,,,,N,,MPRB
Harriet - SE,27-0016,2015-07-27,1,29.8,cfu,2420,,,,Y,entero,MPRB
Hiawatha,27-0018,2015-07-27,692,506.4,cfu,248,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2015-08-03,4,6,cfu,,,,,N,,MPRB
Harriet - SE,27-0016,2015-08-03,1,12.7,cfu,,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-08-03,15,31,cfu,,,,,N,,MPRB
Nokomis - Main,27-0019,2015-08-03,12.2,27,cfu,,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-08-03,7,5,cfu,,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-08-03,3,4,cfu,,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-08-03,10.3,6,cfu,,,,,N,,MPRB
Wirth,27-0037,2015-08-03,61,10,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-08-03,1,4,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-08-03,4,4,cfu,,,,,N,,MPRB
Cedar - Point,27-0039,2015-08-03,1.5,20,cfu,,,,,N,,MPRB
Hiawatha,27-0018,2015-08-03,12,352.9,cfu,,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2015-08-10,20,40,cfu,3,,,,N,,MPRB
Harriet - SE,27-0016,2015-08-10,14,9,cfu,53,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-08-10,10,21,cfu,10,,,,N,,MPRB
Nokomis - Main,27-0019,2015-08-10,24,24,cfu,12,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-08-10,39,20,cfu,2,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-08-10,7,16,cfu,3,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-08-10,14,15,cfu,3,,,,N,,MPRB
Wirth,27-0037,2015-08-10,13,9.4,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-08-10,4,12,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-08-10,10,11,cfu,30,,,,N,,MPRB
Cedar - Point,27-0039,2015-08-10,72,17,cfu,20,,,,N,,MPRB
Hiawatha,27-0018,2015-08-10,1733,330.1,cfu,548,,,,Y,ecoli_1dayGM,MPRB
Harriet - Main,27-0016,2015-08-17,8,48,cfu,1,,,,N,,MPRB
Harriet - SE,27-0016,2015-08-17,243,9.8,cfu,411,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-08-17,13,14,cfu,120,,,,N,,MPRB
Nokomis - Main,27-0019,2015-08-17,45,23,cfu,31,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-08-17,186,74,cfu,66,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-08-17,181.5,97,cfu,86,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-08-17,143.5,43,cfu,44,,,,N,,MPRB
Wirth,27-0037,2015-08-17,10,10.3,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-08-17,2,37,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-08-17,87,61,cfu,548,,,,N,,MPRB
Cedar - Point,27-0039,2015-08-17,76,16,cfu,23,,,,N,,MPRB
Hiawatha,27-0018,2015-08-17,254,210.3,cfu,326,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2015-08-24,8,31,cfu,9,,,,N,,MPRB
Harriet - SE,27-0016,2015-08-24,36,10.4,cfu,83,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-08-24,8,13,cfu,10,,,,N,,MPRB
Nokomis - Main,27-0019,2015-08-24,22,26,cfu,14,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-08-24,36,48,cfu,8,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-08-24,11,41,cfu,1,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-08-24,993.2,35,cfu,101,,,,N,,MPRB
Wirth,27-0037,2015-08-24,586,32,cfu,,,,,N,,MPRB
Cedar - East,27-0039,2015-08-24,2,22,cfu,,,,,N,,MPRB
Cedar - Main,27-0039,2015-08-24,50,31,cfu,16,,,,N,,MPRB
Cedar - Point,27-0039,2015-08-24,31,13,cfu,12,,,,N,,MPRB
Hiawatha,27-0018,2015-08-24,542,288,cfu,201,,,,Y,ecoli_30dayGM,MPRB
Harriet - Main,27-0016,2015-08-31,17,36,cfu,74,,,,N,,MPRB
Harriet - SE,27-0016,2015-08-31,6,15,cfu,2,,,,N,,MPRB
Nokomis - 50th,27-0019,2015-08-31,95,17,cfu,82,,,,N,,MPRB
Nokomis - Main,27-0019,2015-08-31,9,19,cfu,5,,,,N,,MPRB
Bde Maka Ska - 32nd,27-0031,2015-08-31,31,24,cfu,65,,,,N,,MPRB
Bde Maka Ska - Main,27-0031,2015-08-31,23,29,cfu,5,,,,N,,MPRB
Bde Maka Ska - Thomas,27-0031,2015-08-31,296.85,30,cfu,138,,,,N,,MPRB
Wirth,27-0037,2015-08-31,363,69.4,cfu,,,,,N,,MPRB
