"BeachName","DOW","Date","MonitoringOrg","Ecoli_1dGM","Ecoli_30dGM","Ecoli_units","ClosureYN","ClosureReason"
"Harriet - Main","27001600",2014-08-04,"MPRB",18.5,10.6,"cfu","N",""
"Harriet - SE","27001600",2014-08-04,"MPRB",7,32.1,"cfu","N",""
"Hiawatha","27001800",2014-08-04,"MPRB",564,7,"cfu","N",""
"Nokomis - 50th","27001900",2014-08-04,"MPRB",102,13,"cfu","N",""
"Nokomis - Main","27001900",2014-08-04,"MPRB",85,33,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-08-04,"MPRB",48.5,10,"cfu","N",""
"Wirth","27003700",2014-08-04,"MPRB",1.5,1.7,"cfu","N",""
"Cedar - East","27003900",2014-08-04,"MPRB",27,91,"cfu","N",""
"Cedar - Main","27003900",2014-08-04,"MPRB",23.33333333,6,"cfu","N",""
"Cedar - Point","27003900",2014-08-04,"MPRB",4.5,6,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-08-04,"MPRB",1643,61,"cfu","Y","ecoli_1dayGM"
"Bde Maka Ska - Thomas","27003100",2014-08-04,"MPRB",155,150,"cfu","Y","ecoli_30dayGM"
"Bde Maka Ska - 32nd","27003100",2014-08-06,"MPRB",417.3333333,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-08-07,"MPRB",108,NA,"cfu","N",""
"Harriet - Main","27001600",2014-08-11,"MPRB",2.5,6,"cfu","N",""
"Harriet - SE","27001600",2014-08-11,"MPRB",291,89,"cfu","N",""
"Hiawatha","27001800",2014-08-11,"MPRB",169,34.8,"cfu","N",""
"Nokomis - 50th","27001900",2014-08-11,"MPRB",32,52,"cfu","N",""
"Nokomis - Main","27001900",2014-08-11,"MPRB",33,96,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-08-11,"MPRB",61.5,85,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-08-11,"MPRB",14,13,"cfu","N",""
"Wirth","27003700",2014-08-11,"MPRB",1.5,1.7,"cfu","N",""
"Cedar - East","27003900",2014-08-11,"MPRB",13,29,"cfu","N",""
"Cedar - Main","27003900",2014-08-11,"MPRB",73.5,10,"cfu","N",""
"Cedar - Point","27003900",2014-08-11,"MPRB",3.666666667,5,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-08-11,"MPRB",829.5,181,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2014-08-18,"MPRB",86.3,8.9,"cfu","N",""
"Harriet - SE","27001600",2014-08-18,"MPRB",6,24.7,"cfu","N",""
"Hiawatha","27001800",2014-08-18,"MPRB",590,20,"cfu","N",""
"Nokomis - 50th","27001900",2014-08-18,"MPRB",12,20,"cfu","N",""
"Nokomis - Main","27001900",2014-08-18,"MPRB",159,23,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-08-18,"MPRB",87.5,101,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-08-18,"MPRB",215.4,30,"cfu","N",""
"Wirth","27003700",2014-08-18,"MPRB",5.766666667,2,"cfu","N",""
"Cedar - East","27003900",2014-08-18,"MPRB",17,109,"cfu","N",""
"Cedar - Main","27003900",2014-08-18,"MPRB",84,14,"cfu","N",""
"Cedar - Point","27003900",2014-08-18,"MPRB",17.55,5,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-08-18,"MPRB",546.2,159,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2014-08-25,"MPRB",15.5,12,"cfu","N",""
"Harriet - SE","27001600",2014-08-25,"MPRB",13,41,"cfu","N",""
"Hiawatha","27001800",2014-08-25,"MPRB",797,41,"cfu","N",""
"Nokomis - 50th","27001900",2014-08-25,"MPRB",96,58,"cfu","N",""
"Nokomis - Main","27001900",2014-08-25,"MPRB",21,44,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2014-08-25,"MPRB",107,112,"cfu","N",""
"Bde Maka Ska - Main","27003100",2014-08-25,"MPRB",7,26,"cfu","N",""
"Wirth","27003700",2014-08-25,"MPRB",8,2.5,"cfu","N",""
"Cedar - East","27003900",2014-08-25,"MPRB",11,34,"cfu","N",""
"Cedar - Main","27003900",2014-08-25,"MPRB",20,20,"cfu","N",""
"Cedar - Point","27003900",2014-08-25,"MPRB",2.5,6,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2014-08-25,"MPRB",368.5,218,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2015-06-08,"MPRB",14,NA,"cfu","N",""
"Harriet - SE","27001600",2015-06-08,"MPRB",22,NA,"cfu","N",""
"Hiawatha","27001800",2015-06-08,"MPRB",95,NA,"cfu","N",""
"Nokomis - 50th","27001900",2015-06-08,"MPRB",12,NA,"cfu","N",""
"Nokomis - Main","27001900",2015-06-08,"MPRB",13,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-06-08,"MPRB",288,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-06-08,"MPRB",4,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-06-08,"MPRB",88,NA,"cfu","N",""
"Wirth","27003700",2015-06-08,"MPRB",4,NA,"cfu","N",""
"Cedar - East","27003900",2015-06-08,"MPRB",54,NA,"cfu","N",""
"Cedar - Main","27003900",2015-06-08,"MPRB",22,NA,"cfu","N",""
"Cedar - Point","27003900",2015-06-08,"MPRB",48,NA,"cfu","N",""
"Harriet - Main","27001600",2015-06-15,"MPRB",6,NA,"cfu","N",""
"Harriet - SE","27001600",2015-06-15,"MPRB",75,NA,"cfu","N",""
"Nokomis - 50th","27001900",2015-06-15,"MPRB",37,NA,"cfu","N",""
"Nokomis - Main","27001900",2015-06-15,"MPRB",66,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-06-15,"MPRB",112,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-06-15,"MPRB",5,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-06-15,"MPRB",5,NA,"cfu","N",""
"Wirth","27003700",2015-06-15,"MPRB",33,NA,"cfu","N",""
"Cedar - East","27003900",2015-06-15,"MPRB",108,NA,"cfu","N",""
"Cedar - Point","27003900",2015-06-15,"MPRB",59.5,NA,"cfu","N",""
"Hiawatha","27001800",2015-06-15,"MPRB",28,NA,"cfu","Y","entero"
"Cedar - Main","27003900",2015-06-15,"MPRB",31,NA,"cfu","Y","entero"
"Harriet - Main","27001600",2015-06-23,"MPRB",25,NA,"cfu","N",""
"Nokomis - 50th","27001900",2015-06-23,"MPRB",69,NA,"cfu","N",""
"Nokomis - Main","27001900",2015-06-23,"MPRB",78,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-06-23,"MPRB",50,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-06-23,"MPRB",64,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-06-23,"MPRB",56,NA,"cfu","N",""
"Wirth","27003700",2015-06-23,"MPRB",2,NA,"cfu","N",""
"Cedar - East","27003900",2015-06-23,"MPRB",2,NA,"cfu","N",""
"Cedar - Main","27003900",2015-06-23,"MPRB",26,NA,"cfu","N",""
"Cedar - Point","27003900",2015-06-23,"MPRB",78,NA,"cfu","N",""
"Harriet - SE","27001600",2015-06-23,"MPRB",68,NA,"cfu","Y","entero"
"Hiawatha","27001800",2015-06-23,"MPRB",355,NA,"cfu","Y","entero"
"Harriet - Main","27001600",2015-06-29,"MPRB",12,NA,"cfu","N",""
"Hiawatha","27001800",2015-06-29,"MPRB",73,NA,"cfu","N",""
"Nokomis - 50th","27001900",2015-06-29,"MPRB",47,NA,"cfu","N",""
"Nokomis - Main","27001900",2015-06-29,"MPRB",66,NA,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-06-29,"MPRB",177,NA,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-06-29,"MPRB",35,NA,"cfu","N",""
"Wirth","27003700",2015-06-29,"MPRB",6,NA,"cfu","N",""
"Cedar - East","27003900",2015-06-29,"MPRB",13,NA,"cfu","N",""
"Cedar - Main","27003900",2015-06-29,"MPRB",79,NA,"cfu","N",""
"Harriet - SE","27001600",2015-06-29,"MPRB",71,NA,"cfu","Y","entero"
"Bde Maka Ska - Thomas","27003100",2015-06-29,"MPRB",1484,NA,"cfu","Y","ecoli_1dayGM"
"Cedar - Point","27003900",2015-06-29,"MPRB",47,NA,"cfu","Y","entero"
"Bde Maka Ska - Thomas","27003100",2015-06-30,"MPRB",32,NA,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-07-01,"MPRB",4,NA,"cfu","N",""
"Harriet - Main","27001600",2015-07-07,"MPRB",20,102,"cfu","N",""
"Harriet - SE","27001600",2015-07-07,"MPRB",79,57.4,"cfu","N",""
"Nokomis - 50th","27001900",2015-07-07,"MPRB",62.5,39,"cfu","N",""
"Nokomis - Main","27001900",2015-07-07,"MPRB",45.5,45,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-07-07,"MPRB",71,68,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-07-07,"MPRB",178.5,90,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-07-07,"MPRB",288,67,"cfu","N",""
"Wirth","27003700",2015-07-07,"MPRB",16.5,7.3,"cfu","N",""
"Cedar - East","27003900",2015-07-07,"MPRB",54.5,83,"cfu","N",""
"Cedar - Main","27003900",2015-07-07,"MPRB",35.5,93,"cfu","N",""
"Cedar - Point","27003900",2015-07-07,"MPRB",157.5,70,"cfu","N",""
"Hiawatha","27001800",2015-07-07,"MPRB",2420,175.5,"cfu","Y","ecoli_1dayGM"
"Harriet - SE","27001600",2015-07-13,"MPRB",159.5,85.2,"cfu","N",""
"Nokomis - 50th","27001900",2015-07-13,"MPRB",100,59,"cfu","N",""
"Nokomis - Main","27001900",2015-07-13,"MPRB",51,60,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-07-13,"MPRB",353,64,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-07-13,"MPRB",207,85,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-07-13,"MPRB",3,50,"cfu","N",""
"Wirth","27003700",2015-07-13,"MPRB",7,8.3,"cfu","N",""
"Cedar - East","27003900",2015-07-13,"MPRB",150,84,"cfu","N",""
"Cedar - Main","27003900",2015-07-13,"MPRB",155,87,"cfu","N",""
"Cedar - Point","27003900",2015-07-13,"MPRB",113,83,"cfu","N",""
"Harriet - Main","27001600",2015-07-13,"MPRB",129,191,"cfu","Y","ecoli_30dayGM"
"Hiawatha","27001800",2015-07-13,"MPRB",2419,335.4,"cfu","Y","ecoli_1dayGM"
"Harriet - Main","27001600",2015-07-20,"MPRB",5,19,"cfu","N",""
"Harriet - SE","27001600",2015-07-20,"MPRB",26,69.1,"cfu","N",""
"Nokomis - 50th","27001900",2015-07-20,"MPRB",12,48,"cfu","N",""
"Nokomis - Main","27001900",2015-07-20,"MPRB",13,44,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-07-20,"MPRB",20,13,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-07-20,"MPRB",6.9,12,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-07-20,"MPRB",12.7,12,"cfu","N",""
"Wirth","27003700",2015-07-20,"MPRB",2,4.7,"cfu","N",""
"Cedar - East","27003900",2015-07-20,"MPRB",4,14,"cfu","N",""
"Cedar - Main","27003900",2015-07-20,"MPRB",14.45,10,"cfu","N",""
"Hiawatha","27001800",2015-07-20,"MPRB",113,443.1,"cfu","Y","ecoli_30dayGM"
"Cedar - Point","27003900",2015-07-20,"MPRB",73.2,86,"cfu","Y","entero"
"Harriet - Main","27001600",2015-07-27,"MPRB",9,23,"cfu","N",""
"Nokomis - 50th","27001900",2015-07-27,"MPRB",26,39,"cfu","N",""
"Nokomis - Main","27001900",2015-07-27,"MPRB",37.2,38,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-07-27,"MPRB",17,12,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-07-27,"MPRB",15,10,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-07-27,"MPRB",46,13,"cfu","N",""
"Wirth","27003700",2015-07-27,"MPRB",8,6.2,"cfu","N",""
"Cedar - East","27003900",2015-07-27,"MPRB",10,16,"cfu","N",""
"Cedar - Main","27003900",2015-07-27,"MPRB",33.5,21,"cfu","N",""
"Cedar - Point","27003900",2015-07-27,"MPRB",2,39,"cfu","N",""
"Harriet - SE","27001600",2015-07-27,"MPRB",1,29.8,"cfu","Y","entero"
"Hiawatha","27001800",2015-07-27,"MPRB",692,506.4,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2015-08-03,"MPRB",4,6,"cfu","N",""
"Harriet - SE","27001600",2015-08-03,"MPRB",1,12.7,"cfu","N",""
"Nokomis - 50th","27001900",2015-08-03,"MPRB",15,31,"cfu","N",""
"Nokomis - Main","27001900",2015-08-03,"MPRB",12.2,27,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-08-03,"MPRB",7,5,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-08-03,"MPRB",3,4,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-08-03,"MPRB",10.3,6,"cfu","N",""
"Wirth","27003700",2015-08-03,"MPRB",61,10,"cfu","N",""
"Cedar - East","27003900",2015-08-03,"MPRB",1,4,"cfu","N",""
"Cedar - Main","27003900",2015-08-03,"MPRB",4,4,"cfu","N",""
"Cedar - Point","27003900",2015-08-03,"MPRB",1.5,20,"cfu","N",""
"Hiawatha","27001800",2015-08-03,"MPRB",12,352.9,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2015-08-10,"MPRB",20,40,"cfu","N",""
"Harriet - SE","27001600",2015-08-10,"MPRB",14,9,"cfu","N",""
"Nokomis - 50th","27001900",2015-08-10,"MPRB",10,21,"cfu","N",""
"Nokomis - Main","27001900",2015-08-10,"MPRB",24,24,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-08-10,"MPRB",39,20,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-08-10,"MPRB",7,16,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-08-10,"MPRB",14,15,"cfu","N",""
"Wirth","27003700",2015-08-10,"MPRB",13,9.4,"cfu","N",""
"Cedar - East","27003900",2015-08-10,"MPRB",4,12,"cfu","N",""
"Cedar - Main","27003900",2015-08-10,"MPRB",10,11,"cfu","N",""
"Cedar - Point","27003900",2015-08-10,"MPRB",72,17,"cfu","N",""
"Hiawatha","27001800",2015-08-10,"MPRB",1733,330.1,"cfu","Y","ecoli_1dayGM"
"Harriet - Main","27001600",2015-08-17,"MPRB",8,48,"cfu","N",""
"Harriet - SE","27001600",2015-08-17,"MPRB",243,9.8,"cfu","N",""
"Nokomis - 50th","27001900",2015-08-17,"MPRB",13,14,"cfu","N",""
"Nokomis - Main","27001900",2015-08-17,"MPRB",45,23,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-08-17,"MPRB",186,74,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-08-17,"MPRB",181.5,97,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-08-17,"MPRB",143.5,43,"cfu","N",""
"Wirth","27003700",2015-08-17,"MPRB",10,10.3,"cfu","N",""
"Cedar - East","27003900",2015-08-17,"MPRB",2,37,"cfu","N",""
"Cedar - Main","27003900",2015-08-17,"MPRB",87,61,"cfu","N",""
"Cedar - Point","27003900",2015-08-17,"MPRB",76,16,"cfu","N",""
"Hiawatha","27001800",2015-08-17,"MPRB",254,210.3,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2015-08-24,"MPRB",8,31,"cfu","N",""
"Harriet - SE","27001600",2015-08-24,"MPRB",36,10.4,"cfu","N",""
"Nokomis - 50th","27001900",2015-08-24,"MPRB",8,13,"cfu","N",""
"Nokomis - Main","27001900",2015-08-24,"MPRB",22,26,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-08-24,"MPRB",36,48,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-08-24,"MPRB",11,41,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-08-24,"MPRB",993.2,35,"cfu","N",""
"Wirth","27003700",2015-08-24,"MPRB",586,32,"cfu","N",""
"Cedar - East","27003900",2015-08-24,"MPRB",2,22,"cfu","N",""
"Cedar - Main","27003900",2015-08-24,"MPRB",50,31,"cfu","N",""
"Cedar - Point","27003900",2015-08-24,"MPRB",31,13,"cfu","N",""
"Hiawatha","27001800",2015-08-24,"MPRB",542,288,"cfu","Y","ecoli_30dayGM"
"Harriet - Main","27001600",2015-08-31,"MPRB",17,36,"cfu","N",""
"Harriet - SE","27001600",2015-08-31,"MPRB",6,15,"cfu","N",""
"Nokomis - 50th","27001900",2015-08-31,"MPRB",95,17,"cfu","N",""
"Nokomis - Main","27001900",2015-08-31,"MPRB",9,19,"cfu","N",""
"Bde Maka Ska - 32nd","27003100",2015-08-31,"MPRB",31,24,"cfu","N",""
"Bde Maka Ska - Main","27003100",2015-08-31,"MPRB",23,29,"cfu","N",""
"Bde Maka Ska - Thomas","27003100",2015-08-31,"MPRB",296.85,30,"cfu","N",""
"Wirth","27003700",2015-08-31,"MPRB",363,69.4,"cfu","N",""
"Cedar - East","27003900",2015-08-31,"MPRB",20,45,"cfu","N",""
"Cedar - Point","27003900",2015-08-31,"MPRB",4,15,"cfu","N",""
"Hiawatha","27001800",2015-08-31,"MPRB",734,291,"cfu","Y","ecoli_30dayGM"
"Cedar - Main","27003900",2015-08-31,"MPRB",16.5,37,"cfu","Y","entero"
"Nokomis - Main","27001900",2016-05-23,"MPRB",7.5,NA,"cfu","N",""
"Wirth","27003700",2016-05-23,"MPRB",14,NA,"cfu","N",""
"Harriet - Main","27001600",2016-05-31,"MPRB",21,NA,"cfu","N",""
"Harriet - SE","27001600",2016-05-31,"MPRB",7,NA,"cfu","N",""
"Hiawatha","27001800",2016-05-31,"MPRB",17.67,NA,"cfu","N",""
